,0,1
0,94191,36982
1,85503,26060
2,70877,10484
3,15409,49341
4,60838,32900
5,80009,82227
6,21347,5552
7,24164,10937
8,13836,75942
9,80123,67644
10,92453,50233
11,69556,17902
12,31491,95625
13,13371,61832
14,88143,38276
15,82593,37910
16,30645,26846
17,88985,64081
18,27190,6647
19,24448,39210
20,37468,99061
21,49892,50601
22,54714,11302
23,75161,90113
24,893,76281
25,57882,45572
26,40033,23662
27,29521,95246
28,5289,69524
29,4701,46686
30,32742,79327
31,18751,20039
32,68586,5019
33,53984,98963
34,52184,41255
35,43807,26383
36,56300,114
37,97649,14214
38,88244,58019
39,91669,52933
40,88394,83852
41,77575,2881
42,70208,34314
43,78211,96062
44,84854,17292
45,87594,62911
46,26234,95402
47,63181,51408
48,68559,37886
49,37695,34333
50,64397,79914
51,55356,18754
52,8258,22791
53,77074,47837
54,28389,26678
55,39983,31649
56,40210,66956
57,69972,76854
58,48089,34450
59,34764,43290
60,46945,35781
61,97812,55623
62,95662,4415
63,55220,45070
64,86793,7344
65,69785,25664
66,85827,87632
67,75722,45409
68,37259,9249
69,57622,77376
70,57566,71004
71,98181,29682
72,57831,17806
73,68947,43237
74,29834,12488
75,67060,66547
76,48669,70441
77,12761,853
78,47882,66127
79,98339,42261
80,9058,92630
81,14745,2991
82,60138,45976
83,47842,82589
84,71178,97155
85,1091,21487
86,52205,93681
87,98709,2461
88,4992,75611
89,97673,24161
90,92736,92205
91,98119,57899
92,97515,11754
93,98939,95171
94,36656,98704
95,85839,67901
96,33746,60863
97,64122,24629
98,41968,70370
99,56617,60335
100,83808,81144
101,68613,23033
102,99714,69487
103,67196,40729
104,11992,91244
105,38192,96231
106,61837,34904
107,29034,41681
108,77480,98166
109,12737,90742
110,39310,12965
111,89307,54309
112,36624,2679
113,81412,12918
114,51450,36231
115,21690,97766
116,46726,87388
117,74576,24926
118,57901,76253
119,92043,56630
120,78130,42930
121,23647,32857
122,39258,49248
123,76629,50348
124,48614,99501
125,74736,59227
126,53027,52335
127,3713,88651
128,30339,10314
129,42197,77111
130,12539,44321
131,98095,47968
132,176,80450
133,64956,63419
134,78307,86414
135,35035,5795
136,36894,28039
137,76017,17295
138,67036,56609
139,33179,90231
140,64085,48988
141,90506,23645
142,94079,72284
143,76441,12347
144,16146,62011
145,78399,33392
146,98044,69946
147,64045,65435
148,69444,4247
149,78862,76422
150,51492,91201
151,52349,54100
152,86079,18617
153,8001,61439
154,68750,32598
155,65764,70619
156,11419,6206
157,96644,97000
158,63154,33701
159,70397,58136
160,91046,26226
161,61274,7994
162,50678,18912
163,94118,70209
164,86774,76507
165,47673,25758
166,90792,23401
167,95791,27466
168,72442,96288
169,57730,98056
170,79566,5912
171,66349,35681
172,40521,13031
173,59808,19557
174,14628,60251
175,39820,40190
176,100,6005
