,0,1
0,90052,36982
1,94191,26060
2,94191,10484
3,85503,49341
4,85503,32900
5,70877,82227
6,70877,5552
7,15409,10937
8,15409,75942
9,60838,67644
10,60838,50233
11,80009,17902
12,80009,95625
13,21347,61832
14,21347,38276
15,24164,37910
16,24164,26846
17,13836,64081
18,13836,6647
19,80123,39210
20,80123,99061
21,92453,50601
22,92453,11302
23,69556,90113
24,69556,76281
25,31491,45572
26,31491,23662
27,13371,95246
28,13371,69524
29,88143,46686
30,88143,79327
31,82593,20039
32,82593,5019
33,30645,98963
34,30645,41255
35,88985,26383
36,88985,114
37,27190,14214
38,27190,58019
39,24448,52933
40,24448,83852
41,37468,2881
42,37468,34314
43,49892,96062
44,49892,17292
45,54714,62911
46,54714,95402
47,75161,51408
48,75161,37886
49,893,34333
50,893,79914
51,57882,18754
52,57882,22791
53,40033,47837
54,40033,26678
55,29521,31649
56,29521,66956
57,5289,76854
58,5289,34450
59,4701,43290
60,4701,35781
61,32742,55623
62,32742,4415
63,18751,45070
64,18751,7344
65,68586,25664
66,68586,87632
67,53984,45409
68,53984,9249
69,52184,77376
70,52184,71004
71,43807,29682
72,43807,17806
73,56300,43237
74,56300,12488
75,97649,66547
76,97649,70441
77,88244,853
78,88244,66127
79,91669,42261
80,91669,92630
81,88394,2991
82,88394,45976
83,77575,82589
84,77575,97155
85,70208,21487
86,70208,93681
87,78211,2461
88,78211,75611
89,84854,24161
90,84854,92205
91,87594,57899
92,87594,11754
93,26234,95171
94,26234,98704
95,63181,67901
96,63181,60863
97,68559,24629
98,68559,70370
99,37695,60335
100,37695,81144
101,64397,23033
102,64397,69487
103,55356,40729
104,55356,91244
105,8258,96231
106,8258,34904
107,77074,41681
108,77074,98166
109,28389,90742
110,28389,12965
111,39983,54309
112,39983,2679
113,40210,12918
114,40210,36231
115,69972,97766
116,69972,87388
117,48089,24926
118,48089,76253
119,34764,56630
120,34764,42930
121,46945,32857
122,46945,49248
123,97812,50348
124,97812,99501
125,95662,59227
126,95662,52335
127,55220,88651
128,55220,10314
129,86793,77111
130,86793,44321
131,69785,47968
132,69785,80450
133,85827,63419
134,85827,86414
135,75722,5795
136,75722,28039
137,37259,17295
138,37259,56609
139,57622,90231
140,57622,48988
141,57566,23645
142,57566,72284
143,98181,12347
144,98181,62011
145,57831,33392
146,57831,69946
147,68947,65435
148,68947,4247
149,29834,76422
150,29834,91201
151,67060,54100
152,67060,18617
153,48669,61439
154,48669,32598
155,12761,70619
156,12761,6206
157,47882,97000
158,47882,33701
159,98339,58136
160,98339,26226
161,9058,7994
162,9058,18912
163,14745,70209
164,14745,76507
165,60138,25758
166,60138,23401
167,47842,27466
168,47842,96288
169,71178,98056
170,71178,5912
171,1091,35681
172,1091,13031
173,52205,19557
174,52205,60251
175,98709,40190
176,98709,6005
177,4992,9101
178,4992,49075
179,97673,57327
180,97673,40566
181,92736,9061
182,92736,93957
183,98119,98586
184,98119,83211
185,97515,92825
186,97515,71073
187,98939,76772
188,98939,64449
189,36656,865
190,36656,29065
191,85839,99418
192,85839,37218
193,33746,94613
194,33746,18316
195,64122,58375
196,64122,29261
197,41968,51322
198,41968,32575
199,56617,67940
200,56617,2229
201,83808,7904
202,83808,3310
203,68613,67845
204,68613,90247
205,99714,38878
206,99714,8687
207,67196,1940
208,67196,89111
209,11992,12777
210,11992,50939
211,38192,57629
212,38192,88462
213,61837,42466
214,61837,23679
215,29034,91413
216,29034,51242
217,77480,70723
218,77480,28885
219,12737,78529
220,12737,68709
221,39310,88831
222,39310,70637
223,89307,85785
224,89307,1345
225,36624,15252
226,36624,64152
227,81412,55630
228,81412,30519
229,51450,77655
230,51450,53301
231,21690,23657
232,21690,85601
