,0,1
0,90052,3294
1,94191,36982
2,85503,26060
3,70877,10484
4,15409,49341
5,60838,32900
6,80009,82227
7,21347,5552
8,24164,10937
9,13836,75942
10,80123,67644
11,92453,50233
12,69556,17902
13,31491,95625
14,13371,61832
15,88143,38276
16,82593,37910
17,30645,26846
18,88985,64081
19,27190,6647
20,24448,39210
21,37468,99061
22,49892,50601
23,54714,11302
24,75161,90113
25,893,76281
26,57882,45572
27,40033,23662
28,29521,95246
29,5289,69524
30,4701,46686
31,32742,79327
32,18751,20039
33,68586,5019
34,53984,98963
35,52184,41255
36,43807,26383
37,56300,114
38,97649,14214
39,88244,58019
40,91669,52933
41,88394,83852
42,77575,2881
43,70208,34314
44,78211,96062
45,84854,17292
46,87594,62911
47,26234,95402
48,63181,51408
49,68559,37886
50,37695,34333
51,64397,79914
52,55356,18754
53,8258,22791
54,77074,47837
55,28389,26678
56,39983,31649
57,40210,66956
58,69972,76854
59,48089,34450
60,34764,43290
61,46945,35781
62,97812,55623
63,95662,4415
64,55220,45070
65,86793,7344
66,69785,25664
67,85827,87632
68,75722,45409
69,37259,9249
70,57622,77376
71,57566,71004
72,98181,29682
73,57831,17806
74,68947,43237
75,29834,12488
76,67060,66547
77,48669,70441
78,12761,853
79,47882,66127
80,98339,42261
81,9058,92630
82,14745,2991
83,60138,45976
84,47842,82589
85,71178,97155
86,1091,21487
87,52205,93681
88,98709,2461
89,4992,75611
90,97673,24161
91,92736,92205
92,98119,57899
93,97515,11754
94,98939,95171
95,36656,98704
96,85839,67901
97,33746,60863
98,64122,24629
99,41968,70370
100,56617,60335
101,83808,81144
102,68613,23033
103,99714,69487
104,67196,40729
105,11992,91244
106,38192,96231
107,61837,34904
108,29034,41681
109,77480,98166
110,12737,90742
111,39310,12965
112,89307,54309
113,36624,2679
114,81412,12918
115,51450,36231
116,21690,97766
117,46726,87388
118,74576,24926
119,57901,76253
120,92043,56630
121,78130,42930
122,23647,32857
123,39258,49248
124,76629,50348
125,48614,99501
126,74736,59227
127,53027,52335
128,3713,88651
129,30339,10314
130,42197,77111
131,12539,44321
132,98095,47968
133,176,80450
134,64956,63419
135,78307,86414
136,35035,5795
137,36894,28039
138,76017,17295
139,67036,56609
140,33179,90231
141,64085,48988
142,90506,23645
143,94079,72284
144,76441,12347
145,16146,62011
146,78399,33392
147,98044,69946
148,64045,65435
149,69444,4247
150,78862,76422
151,51492,91201
152,52349,54100
153,86079,18617
154,8001,61439
155,68750,32598
156,65764,70619
157,11419,6206
158,96644,97000
159,63154,33701
160,70397,58136
161,91046,26226
162,61274,7994
163,50678,18912
164,94118,70209
165,86774,76507
166,47673,25758
167,90792,23401
168,95791,27466
169,72442,96288
170,57730,98056
171,79566,5912
172,66349,35681
173,40521,13031
174,59808,19557
175,14628,60251
176,39820,40190
177,100,6005
178,84844,9101
179,39890,49075
180,12930,57327
181,97979,40566
182,16870,9061
183,3928,93957
184,71245,98586
185,8289,83211
186,9118,92825
187,81768,71073
188,68242,76772
189,65768,64449
190,94363,865
191,34013,29065
192,85632,99418
193,82706,37218
194,97089,94613
195,67999,18316
196,53542,58375
197,68609,29261
198,91136,51322
199,95660,32575
200,30395,67940
201,19822,2229
202,55325,7904
203,33630,3310
204,65277,67845
205,34563,90247
206,44890,38878
207,54001,8687
208,75838,1940
209,83931,89111
210,68010,12777
211,62369,50939
212,30318,57629
213,79479,88462
214,31117,42466
215,43267,23679
216,9623,91413
217,46206,51242
218,56408,70723
219,91586,28885
220,60171,78529
221,21279,68709
222,74921,88831
223,91523,70637
224,82519,85785
225,40257,1345
226,76116,15252
227,7556,64152
228,99775,55630
229,74219,30519
230,82223,77655
231,35247,53301
232,52390,23657
233,89160,85601
234,16586,80591
235,24065,13015
236,69983,70975
237,55163,2403
238,73389,35102
239,91965,11159
240,98094,62163
241,11616,66161
242,3651,17015
243,56582,6353
244,70915,22135
245,16041,99330
246,22628,63786
247,21140,86587
248,24595,7364
249,2015,35508
250,1063,68312
251,81810,26511
252,16744,93336
253,63875,73117
